week,wti_open,wti_close,wti_mean,wti_high,wti_low,price_observations,wti_return,wti_close_lag1,wti_close_lag2,target_next_week_close,news_count,avg_sentiment_score,avg_topic_confidence,avg_compression_ratio,avg_token_count,sentiment_count_negative,sentiment_count_neutral,sentiment_count_positive,topic_count_demand,topic_count_energy_transition,topic_count_financial_market,topic_count_geopolitics,topic_count_inventory,topic_count_natural_gas,topic_count_other,topic_count_supply,positive_ratio,negative_ratio,neutral_ratio
2024-01-07,70.37999725341797,73.80999755859375,72.26999855041504,73.80999755859375,70.37999725341797,4,,,,72.68000030517578,2,0.0,0.55,0.27165,52.5,1,0,1,2,0,0,0,0,0,0,0,0.5,0.5,0.0
2024-01-14,70.7699966430664,72.68000030517578,71.81599884033203,72.68000030517578,70.7699966430664,5,-0.015309541942755467,73.80999755859375,,73.41000366210938,3,0.7000000000000001,0.5634666666666667,0.8088333333333333,48.0,0,1,2,1,0,0,0,0,1,0,1,0.6666666666666666,0.0,0.3333333333333333
2024-01-21,72.4000015258789,73.41000366210938,73.11250114440918,74.08000183105469,72.4000015258789,4,0.010044074764287148,72.68000030517578,73.80999755859375,78.01000213623047,2,0.75,0.83335,0.8124,38.0,0,1,1,0,0,1,1,0,0,0,0,0.5,0.0,0.5
2024-01-28,75.19000244140625,78.01000213623047,76.00400085449219,78.01000213623047,74.37000274658203,5,0.06266173879099513,73.41000366210938,72.68000030517578,72.27999877929688,2,-1.04165,0.35715,0.7142,46.0,2,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0.0
2024-02-04,76.77999877929688,72.27999877929688,75.30999908447265,77.81999969482422,72.27999877929688,5,-0.07345216254355658,78.01000213623047,73.41000366210938,76.83999633789062,2,0.58335,0.5606,0.82375,47.5,0,1,1,0,0,1,0,0,0,0,1,0.5,0.0,0.5
2024-02-11,72.77999877929688,76.83999633789062,74.60199890136718,76.83999633789062,72.77999877929688,5,0.06308795843394321,72.27999877929688,78.01000213623047,79.19000244140625,2,0.625,0.77275,0.78145,45.5,0,0,2,1,0,0,0,0,1,0,0,1.0,0.0,0.0
2024-02-18,76.91999816894531,79.19000244140625,77.73000030517578,79.19000244140625,76.63999938964844,5,0.030583110561092086,76.83999633789062,72.27999877929688,76.48999786376953,3,0.19999999999999998,0.8631000000000001,0.28796666666666665,61.0,1,0,2,1,1,0,0,0,1,0,0,0.6666666666666666,0.3333333333333333,0.0
2024-02-25,78.18000030517578,76.48999786376953,77.79750061035156,78.61000061035156,76.48999786376953,4,-0.034095270796771215,79.19000244140625,76.83999633789062,79.97000122070312,2,-0.375,0.59615,0.7681,46.5,1,0,1,0,0,0,0,1,1,0,0,0.5,0.5,0.0
2024-03-03,77.58000183105469,79.97000122070312,78.64400177001953,79.97000122070312,77.58000183105469,5,0.04549618844455394,76.48999786376953,79.19000244140625,78.01000213623047,2,1.33335,0.7163999999999999,0.72415,55.5,0,0,2,0,0,1,0,0,1,0,0,1.0,0.0,0.0
2024-03-10,78.73999786376953,78.01000213623047,78.59199981689453,79.12999725341797,78.01000213623047,5,-0.024509179124099334,79.97000122070312,76.48999786376953,81.04000091552734,2,0.75895,0.5267999999999999,0.93245,36.0,0,0,2,0,0,0,0,0,2,0,0,1.0,0.0,0.0
2024-03-17,77.93000030517578,81.04000091552734,79.50200042724609,81.26000213623047,77.55999755859375,5,0.038841157496772416,78.01000213623047,79.97000122070312,80.62999725341797,2,-0.57145,0.65155,0.5787,61.0,1,1,0,0,1,0,0,0,0,0,1,0.0,0.5,0.5
2024-03-24,82.72000122070312,80.62999725341797,81.91399993896485,83.47000122070312,80.62999725341797,5,-0.005059275141627184,81.04000091552734,78.01000213623047,83.16999816894531,3,-0.6666666666666666,0.7151666666666667,0.8501,47.0,2,0,1,0,2,0,0,0,0,0,1,0.3333333333333333,0.6666666666666666,0.0
2024-03-31,81.94999694824219,83.16999816894531,82.02249908447266,83.16999816894531,81.3499984741211,4,0.0315019347891603,80.62999725341797,81.04000091552734,,1,1.0,0.5,0.3925,47.0,0,0,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0
